model,target_tokens,trial,success,base_mem_mb,peak_mem_mb,mem_increase_mb,elapsed_ms,server_ms
pythia-160m,1500,4,True,1179.648,1254.4,2.048000000000002,2126.6906740002014,2123.3899019998717
gpt2-medium,10,0,True,853.2,867.2,14.0,4027.506111000548,4022.6123589991403
gpt2-medium,10,1,True,853.2,868.4,0.0,4010.978776999764,4007.842320000236
gpt2-medium,10,2,True,853.2,868.4,0.0,4029.9714310003765,4026.9784700003584
gpt2-medium,10,3,True,853.2,869.5,0.0,3903.9858689993707,3900.7965290002176
gpt2-medium,10,4,True,853.2,869.8,0.0,3913.776131999839,3910.601193999355
gpt2-medium,100,0,True,853.2,908.9,39.10000000000002,4566.596863999621,4563.600193999264
gpt2-medium,100,1,True,853.2,929.2,70.5,4749.94174800031,4746.911158999865
gpt2-medium,100,2,True,853.2,929.0,39.60000000000002,4555.8283680002205,4552.927556999748
gpt2-medium,100,3,True,853.2,929.1,39.700000000000045,4555.282577000071,4552.004302000569
gpt2-medium,100,4,True,853.2,929.2,40.90000000000009,4555.642483000156,4552.492634999908
gpt2-medium,500,0,True,853.2,1021.0,131.60000000000002,6265.8850239995445,6262.689320999925
gpt2-medium,500,1,True,853.2,1030.144,125.24400000000003,6571.362767999744,6568.044486999497
gpt2-medium,500,2,True,853.2,1040.384,54.98400000000004,6358.264607999445,6355.401888000415
gpt2-medium,500,3,True,853.2,1021.0,64.0,6231.244239999796,6228.381848000026
gpt2-medium,500,4,True,853.2,1021.0,80.0,6352.138299999751,6349.072151000655
gpt2-medium,1000,0,True,853.2,1021.0,80.0,6409.031261000564,6406.057946000146
gpt2-medium,1000,1,True,853.2,1023.0,96.29999999999995,6421.728626999538,6418.892604000575
gpt2-medium,1000,2,True,853.2,1021.0,114.0,6243.193032000818,6240.207474000272
gpt2-medium,1000,3,True,853.2,1021.0,111.60000000000002,6385.258131000228,6382.213043000775
gpt2-medium,1000,4,True,853.2,1049.6,84.49999999999989,6308.216310999342,6305.157713999506
gpt2-medium,1500,0,True,853.2,1049.6,84.49999999999989,6212.0465840007455,6208.3782970003085
gpt2-medium,1500,1,True,853.2,1038.336,73.23599999999999,6212.022808999791,6208.32936700026
gpt2-medium,1500,2,True,853.2,1049.6,73.49999999999989,6062.5085909996415,6059.288063999702
gpt2-medium,1500,3,True,853.2,1044.48,79.27999999999997,6314.884441000686,6311.365601000034
gpt2-medium,1500,4,True,853.2,1070.08,93.87999999999988,6354.370496999763,6350.784690000182
bloom-560m,10,0,True,2757.632,2777.088,19.45600000000013,5638.17646499956,5633.980139999949
bloom-560m,10,1,True,2757.632,2777.088,0.0,5558.172996000394,5554.602254999736
bloom-560m,10,2,True,2757.632,2777.088,0.0,5813.327918000141,5809.8447089996625
bloom-560m,10,3,True,2757.632,2777.088,0.0,5828.797995999594,5825.5868040005225
bloom-560m,10,4,True,2757.632,2777.088,0.0,5704.274704999989,5700.858430000153
bloom-560m,100,0,True,2757.632,2577.408,-199.6800000000003,6617.664544000036,6613.832656000341
bloom-560m,100,1,True,2757.632,2596.864,19.45600000000013,6742.311248000078,6738.5099940001965
bloom-560m,100,2,True,2757.632,2587.648,1.024000000000342,6707.224509999833,6703.548910999416
bloom-560m,100,3,True,2757.632,2587.648,1.024000000000342,6488.7084670008335,6485.6583300006605
bloom-560m,100,4,True,2757.632,2587.648,1.024000000000342,6699.165913999423,6695.893467000133
bloom-560m,500,0,True,2757.632,2744.32,157.69600000000037,9030.957351000325,9028.215700000146
bloom-560m,500,1,True,2757.632,2788.352,134.14399999999978,9143.237107999994,9140.488574999836
bloom-560m,500,2,True,2757.632,2788.352,130.04799999999977,9028.00862499953,9025.095144999796
bloom-560m,500,3,True,2757.632,2788.352,130.04799999999977,9217.550458000005,9214.779883999654
bloom-560m,500,4,True,2757.632,2788.352,130.04799999999977,9064.17871099984,9061.412148999807
bloom-560m,1000,0,True,2757.632,2789.376,131.07200000000012,9118.572408000546,9115.695786000288
bloom-560m,1000,1,True,2757.632,2788.352,140.288,9117.391083999792,9114.46047499976
bloom-560m,1000,2,True,2757.632,2788.352,157.6959999999999,9219.834618999812,9217.093227000078
bloom-560m,1000,3,True,2757.632,2788.352,157.6959999999999,9290.05399199923,9287.237372999698
bloom-560m,1000,4,True,2757.632,2788.352,157.6959999999999,9213.378512999952,9210.497541000223
bloom-560m,1500,0,True,2757.632,2788.352,157.6959999999999,9207.324133999464,9204.460496000138
bloom-560m,1500,1,True,2757.632,2789.376,158.72000000000025,9220.424527999967,9217.575115999352
bloom-560m,1500,2,True,2757.632,2788.352,157.6959999999999,9214.676517000044,9211.644934000105
bloom-560m,1500,3,True,2757.632,2788.352,157.6959999999999,9226.46358899965,9223.110179999821
bloom-560m,1500,4,True,2757.632,2788.352,157.6959999999999,9098.21792799994,9095.108763999633
